date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-04-20,5.6,5.63,5.52,5.47,120200.1,-0.09,-1.6,5.712,5.848,5.9,127640.47,168677.59,190199.15,1.08
2017-04-19,5.71,5.71,5.61,5.52,141019.59,-0.11,-1.92,5.808,5.903,5.928,140820.55,191014.97,190150.38,1.26
2017-04-18,5.81,5.84,5.72,5.72,95152.0,-0.09,-1.55,5.882,5.954,5.95,158381.08,212076.08,187737.64,0.85
2017-04-17,5.87,5.88,5.81,5.79,129615.24,-0.09,-1.52,5.928,5.977,5.967,183526.65,227474.08,189595.8,1.16
2017-04-14,5.98,6.01,5.9,5.88,152215.42,-0.1,-1.67,5.954,5.991,5.98,195553.46,258173.1,187898.52,1.36
2017-04-13,5.94,6.07,6.0,5.92,186100.52,0.02,0.33,5.984,5.986,5.987,209714.72,252725.31,185070.87,1.67
2017-04-12,5.94,6.04,5.98,5.87,228822.2,0.03,0.5,5.998,5.976,5.989,241209.38,243038.25,179731.1,2.05
2017-04-11,5.95,5.98,5.95,5.81,220879.88,0.01,0.17,6.026,5.966,5.994,265771.09,228147.68,172430.25,1.98
2017-04-10,6.05,6.05,5.94,5.93,189749.27,-0.11,-1.82,6.026,5.963,5.999,271421.51,219036.97,165665.08,1.7
2017-04-07,6.05,6.09,6.05,6.0,223021.72,-0.02,-0.33,6.028,5.959,6.005,320792.74,216511.99,162835.97,2.0
2017-04-06,6.13,6.16,6.07,6.03,343573.84,-0.05,-0.82,5.988,5.952,6.009,295735.9,211720.71,156043.65,3.08
2017-04-05,5.89,6.13,6.12,5.87,351630.72,0.17,2.86,5.954,5.953,6.014,244867.12,189285.78,143304.41,3.15
2017-03-31,5.9,6.06,5.95,5.81,249132.0,0.0,0.0,5.906,5.946,6.016,190524.27,163399.2,131107.92,2.23
2017-03-30,5.87,6.15,5.95,5.73,436605.44,0.1,1.71,5.9,5.957,6.024,166652.44,151717.53,127025.14,3.91
2017-03-29,5.89,5.91,5.85,5.85,97737.5,-0.05,-0.85,5.89,5.969,6.033,112231.24,117623.94,111708.03,0.88
2017-03-28,5.88,5.93,5.9,5.85,89229.93,0.02,0.34,5.916,5.987,6.049,127705.51,117416.44,113437.15,0.8
2017-03-27,5.92,5.92,5.88,5.87,79916.5,-0.04,-0.68,5.952,6.002,6.064,133704.45,116423.95,115616.84,0.72
2017-03-24,5.88,5.94,5.92,5.86,129772.81,0.02,0.34,5.986,6.022,6.079,136274.13,116712.82,120465.24,1.16
2017-03-23,5.97,6.0,5.9,5.85,164499.44,-0.08,-1.34,6.014,6.035,6.097,136782.62,112293.19,119690.81,1.47
2017-03-22,6.06,6.06,5.98,5.97,175108.88,-0.1,-1.65,6.048,6.051,6.116,123016.65,109159.95,119084.59,1.57
2017-03-21,6.06,6.09,6.08,6.03,119224.61,0.03,0.5,6.058,6.066,6.133,107127.37,100366.6,120456.26,1.07
2017-03-20,6.06,6.07,6.05,6.02,92764.93,-0.01,-0.17,6.052,6.074,6.144,99143.46,97323.04,123664.43,0.83
2017-03-17,6.08,6.11,6.06,6.05,132315.22,-0.01,-0.17,6.058,6.086,6.155,97151.51,98816.65,128110.87,1.19
2017-03-16,6.03,6.08,6.07,6.03,95669.62,0.04,0.66,6.056,6.09,6.163,87803.77,102332.75,131075.19,0.86
2017-03-15,6.04,6.05,6.03,6.0,95662.46,-0.02,-0.33,6.054,6.096,6.174,95303.25,105792.12,138307.24,0.86
2017-03-14,6.07,6.09,6.05,6.04,79305.07,-0.03,-0.49,6.074,6.111,6.186,93605.83,109457.86,155637.82,0.71
2017-03-13,6.05,6.09,6.08,6.01,82805.19,0.03,0.5,6.096,6.125,6.194,95502.62,114809.72,160512.15,0.74
2017-03-10,6.06,6.09,6.05,6.03,85576.5,-0.01,-0.17,6.114,6.136,6.203,100481.78,124217.65,163385.74,0.77
2017-03-09,6.13,6.13,6.06,6.04,133167.03,-0.07,-1.14,6.124,6.159,6.213,116861.73,127088.44,167510.69,1.19
2017-03-08,6.18,6.18,6.13,6.11,87175.36,-0.03,-0.49,6.138,6.18,6.221,116280.99,129009.24,167433.95,0.78
2017-03-07,6.17,6.18,6.16,6.12,88789.01,-0.01,-0.16,6.148,6.2,6.226,125309.9,140545.92,169896.55,0.8
2017-03-06,6.12,6.18,6.17,6.1,107700.99,0.07,1.15,6.154,6.214,6.227,134116.82,150005.82,170855.47,0.97
2017-03-03,6.11,6.13,6.1,6.05,167476.27,-0.03,-0.49,6.158,6.224,6.226,147953.52,157405.1,170791.65,1.5
2017-03-02,6.18,6.21,6.13,6.12,130263.3,-0.05,-0.81,6.194,6.236,6.226,137315.14,159817.62,165596.97,1.17
2017-03-01,6.21,6.21,6.18,6.17,132319.91,-0.01,-0.16,6.222,6.251,6.224,141737.49,170822.37,165060.98,1.19
2017-02-28,6.2,6.22,6.19,6.14,132823.61,0.0,0.0,6.252,6.261,6.22,155781.95,201817.79,163236.09,1.19
2017-02-27,6.29,6.33,6.19,6.17,176884.5,-0.09,-1.43,6.274,6.263,6.217,165894.83,206214.59,160353.06,1.59
2017-02-24,6.27,6.29,6.28,6.23,114284.4,0.01,0.16,6.29,6.269,6.215,166856.67,202553.82,157042.45,1.02
2017-02-23,6.33,6.33,6.27,6.24,152375.03,-0.06,-0.95,6.278,6.267,6.207,182320.1,207932.94,156508.68,1.37
2017-02-22,6.31,6.39,6.33,6.29,202542.2,0.03,0.48,6.28,6.262,6.196,199907.24,205858.66,154501.81,1.82
2017-02-21,6.26,6.3,6.3,6.25,183388.0,0.03,0.48,6.27,6.252,6.186,247853.62,199247.17,149792.39,1.64
2017-02-20,6.2,6.27,6.27,6.19,181693.73,0.05,0.8,6.252,6.239,6.18,246534.36,191705.12,149016.52,1.63
2017-02-17,6.27,6.32,6.22,6.21,191601.52,-0.06,-0.95,6.248,6.227,6.173,238250.97,184178.2,155152.43,1.72
2017-02-16,6.24,6.3,6.28,6.19,240310.77,0.0,0.0,6.256,6.215,6.184,233545.79,171376.32,153711.02,2.15
2017-02-15,6.22,6.5,6.28,6.16,442274.09,0.07,1.13,6.244,6.196,6.193,211810.07,159299.6,151945.71,3.96
2017-02-14,6.25,6.27,6.21,6.18,176791.69,-0.04,-0.64,6.234,6.178,6.207,150640.73,124654.4,144160.57,1.58
2017-02-13,6.23,6.25,6.25,6.2,140276.8,-0.01,-0.16,6.226,6.17,6.229,136875.88,114491.53,152671.13,1.26
2017-02-10,6.21,6.26,6.26,6.21,168075.59,0.04,0.64,6.206,6.161,6.256,130105.43,111531.09,171557.57,1.51
2017-02-09,6.21,6.23,6.22,6.19,131632.17,-0.01,-0.16,6.174,6.146,6.276,109206.84,105084.42,185202.41,1.18
2017-02-08,6.15,6.24,6.23,6.15,136427.38,0.06,0.97,6.148,6.13,6.295,106789.14,103144.97,196070.29,1.22
2017-02-07,6.14,6.19,6.17,6.12,107967.44,0.02,0.33,6.122,6.12,6.311,98668.08,100337.61,204165.66,0.97
2017-02-06,6.1,6.15,6.15,6.07,106424.59,0.05,0.82,6.114,6.12,6.33,92107.19,106327.93,220390.22,0.95
2017-02-03,6.09,6.12,6.1,6.07,63582.63,0.01,0.16,6.116,6.119,6.351,92956.74,126126.65,240731.17,0.57
2017-01-26,6.08,6.11,6.09,6.05,119543.64,-0.01,-0.16,6.118,6.153,6.387,100961.99,136045.73,252224.13,1.07
2017-01-25,6.12,6.15,6.1,6.09,95822.09,-0.03,-0.49,6.112,6.19,6.424,99500.81,144591.82,271002.2,0.86
2017-01-24,6.17,6.19,6.13,6.13,75163.0,-0.03,-0.49,6.118,6.235,6.465,102007.14,163666.73,297593.84,0.67
2017-01-23,6.1,6.19,6.16,6.09,110672.32,0.05,0.82,6.126,6.287,6.511,120548.66,190850.73,350790.28,0.99
2017-01-20,6.06,6.13,6.11,6.02,103608.9,0.05,0.82,6.122,6.351,6.542,159296.57,231584.06,382756.84,0.93
2017-01-19,6.09,6.11,6.06,5.99,112237.73,-0.07,-1.14,6.188,6.405,6.572,171129.47,265320.4,408415.69,1.01
2017-01-18,6.16,6.18,6.13,6.1,108353.74,-0.04,-0.65,6.268,6.459,6.605,189682.84,288995.61,435329.8,0.97
2017-01-17,6.1,6.19,6.17,5.99,167870.62,0.03,0.49,6.352,6.502,6.624,225326.33,307993.72,443893.26,1.5
2017-01-16,6.42,6.47,6.14,5.86,304411.84,-0.3,-4.66,6.448,6.539,6.641,261152.8,334452.51,457898.51,2.73
2017-01-13,6.46,6.54,6.44,6.41,162773.41,-0.02,-0.31,6.58,6.582,6.665,303871.56,355335.68,483817.05,1.46
2017-01-12,6.54,6.58,6.46,6.45,205004.58,-0.09,-1.37,6.622,6.621,6.679,359511.33,368402.54,511731.19,1.84
2017-01-11,6.61,6.72,6.55,6.53,286571.19,-0.1,-1.5,6.65,6.658,6.684,388308.38,397412.59,535396.83,2.57
2017-01-10,6.75,6.85,6.65,6.65,347003.0,-0.15,-2.21,6.652,6.695,6.691,390661.11,431520.94,568149.23,3.11
2017-01-09,6.64,6.83,6.8,6.53,518005.62,0.15,2.26,6.63,6.735,6.678,407752.22,510729.83,572294.76,4.64
2017-01-06,6.58,6.77,6.65,6.56,440972.28,0.05,0.76,6.584,6.733,6.662,406799.8,533929.61,562875.97,3.95
2017-01-05,6.55,6.63,6.6,6.51,348989.81,0.04,0.61,6.62,6.738,6.654,377293.74,551510.98,559291.52,3.13
2017-01-04,6.52,6.6,6.56,6.46,298334.84,0.02,0.31,6.666,6.75,6.651,406516.79,581663.99,567054.86,2.67
2017-01-03,6.5,6.55,6.54,6.43,432458.56,-0.03,-0.46,6.738,6.745,6.644,472380.77,579792.8,571901.24,3.88
2016-12-30,6.83,6.95,6.57,6.56,513243.53,-0.26,-3.81,6.84,6.742,6.644,613707.44,581344.5,588478.75,4.6
2016-12-29,6.81,6.86,6.83,6.77,293441.94,0.0,0.0,6.882,6.748,6.636,661059.42,612298.41,591851.77,2.63
2016-12-28,6.91,6.92,6.83,6.76,495105.09,-0.09,-1.3,6.856,6.736,6.612,725728.23,655059.84,605916.8,4.44
2016-12-27,6.98,7.04,6.92,6.89,627654.75,-0.13,-1.84,6.834,6.71,6.58,756811.19,673381.07,601478.21,5.63
2016-12-26,6.75,7.15,7.05,6.72,1139091.88,0.27,3.98,6.752,6.686,6.544,687204.82,704777.51,584868.2,10.21
2016-12-23,6.74,6.92,6.78,6.63,750003.44,0.08,1.19,6.644,6.62,6.5,548981.57,633859.7,536335.14,6.72
